Deanery,Lives in a communal establishment,Lives in a household,Total,Lives in a communal establishment_prop,Lives in a household_prop
B,735.0,22526.0,23261.0,0.03159795365633464,0.9684020463436653
Diocese,735.0,22526.0,23261.0,0.03159795365633464,0.9684020463436653
