Deanery,"Asian, Asian British or Asian Welsh","Asian, Asian British or Asian Welsh: Bangladeshi","Asian, Asian British or Asian Welsh: Chinese","Asian, Asian British or Asian Welsh: Indian","Asian, Asian British or Asian Welsh: Other Asian","Asian, Asian British or Asian Welsh: Pakistani","Black, Black British, Black Welsh, Caribbean or African","Black, Black British, Black Welsh, Caribbean or African: African","Black, Black British, Black Welsh, Caribbean or African: Caribbean","Black, Black British, Black Welsh, Caribbean or African: Other Black",Mixed or Multiple ethnic groups,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,Mixed or Multiple ethnic groups: White and Asian,Mixed or Multiple ethnic groups: White and Black African,Mixed or Multiple ethnic groups: White and Black Caribbean,Other ethnic group,Other ethnic group: Any other ethnic group,Other ethnic group: Arab,Total,White,"White: English, Welsh, Scottish, Northern Irish or British",White: Gypsy or Irish Traveller,White: Irish,White: Other White,White: Roma,"Asian, Asian British or Asian Welsh_prop","Asian, Asian British or Asian Welsh: Bangladeshi_prop","Asian, Asian British or Asian Welsh: Chinese_prop","Asian, Asian British or Asian Welsh: Indian_prop","Asian, Asian British or Asian Welsh: Other Asian_prop","Asian, Asian British or Asian Welsh: Pakistani_prop","Black, Black British, Black Welsh, Caribbean or African_prop","Black, Black British, Black Welsh, Caribbean or African: African_prop","Black, Black British, Black Welsh, Caribbean or African: Caribbean_prop","Black, Black British, Black Welsh, Caribbean or African: Other Black_prop",Mixed or Multiple ethnic groups_prop,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups_prop,Mixed or Multiple ethnic groups: White and Asian_prop,Mixed or Multiple ethnic groups: White and Black African_prop,Mixed or Multiple ethnic groups: White and Black Caribbean_prop,Other ethnic group_prop,Other ethnic group: Any other ethnic group_prop,Other ethnic group: Arab_prop,White_prop,"White: English, Welsh, Scottish, Northern Irish or British_prop",White: Gypsy or Irish Traveller_prop,White: Irish_prop,White: Other White_prop,White: Roma_prop
B,1282.0,32.0,219.0,388.0,331.0,312.0,2873.0,2468.0,205.0,200.0,961.0,209.0,133.0,357.0,262.0,894.0,435.0,459.0,23232.0,17222.0,15003.0,72.0,249.0,1839.0,59.0,0.05518250688705234,0.0013774104683195593,0.009426652892561983,0.016701101928374654,0.01424758953168044,0.013429752066115703,0.12366563360881543,0.106232782369146,0.008824035812672177,0.008608815426997245,0.04136535812672176,0.008996212121212122,0.005724862258953168,0.015366735537190084,0.01127754820936639,0.03848140495867768,0.01872417355371901,0.019757231404958678,0.7413050964187328,0.6457902892561983,0.0030991735537190084,0.010717975206611571,0.07915805785123967,0.0025396005509641874
Diocese,1282.0,32.0,219.0,388.0,331.0,312.0,2873.0,2468.0,205.0,200.0,961.0,209.0,133.0,357.0,262.0,894.0,435.0,459.0,23232.0,17222.0,15003.0,72.0,249.0,1839.0,59.0,0.05518250688705234,0.0013774104683195593,0.009426652892561983,0.016701101928374654,0.01424758953168044,0.013429752066115703,0.12366563360881543,0.106232782369146,0.008824035812672177,0.008608815426997245,0.04136535812672176,0.008996212121212122,0.005724862258953168,0.015366735537190084,0.01127754820936639,0.03848140495867768,0.01872417355371901,0.019757231404958678,0.7413050964187328,0.6457902892561983,0.0030991735537190084,0.010717975206611571,0.07915805785123967,0.0025396005509641874
