Deanery,Lives rent free,Owned,Owned: Owns outright,Owned: Owns with a mortgage or loan,Owns with a mortgage or loan or shared ownership,Private rented,Private rented or lives rent free,Private rented: Other private rented,Private rented: Private landlord or letting agency,Shared ownership,Shared ownership: Shared ownership,Social rented,Social rented: Other social rented,Social rented: Rents from council or Local Authority,Total,Lives rent free_prop,Owned_prop,Owned: Owns outright_prop,Owned: Owns with a mortgage or loan_prop,Owns with a mortgage or loan or shared ownership_prop,Private rented_prop,Private rented or lives rent free_prop,Private rented: Other private rented_prop,Private rented: Private landlord or letting agency_prop,Shared ownership_prop,Shared ownership: Shared ownership_prop,Social rented_prop,Social rented: Other social rented_prop,Social rented: Rents from council or Local Authority_prop
B,45.0,2927.0,1446.0,1481.0,1578.0,3183.0,3228.0,220.0,2963.0,97.0,97.0,4017.0,2452.0,1565.0,10269.0,0.0043821209465381246,0.28503262245593536,0.14081215308209175,0.1442204693738436,0.15366637452527024,0.3099620216184633,0.3143441425650015,0.021423702405297496,0.28853831921316586,0.009445905151426624,0.009445905151426624,0.3911773298276366,0.23877690135358848,0.1524004284740481
Diocese,45.0,2927.0,1446.0,1481.0,1578.0,3183.0,3228.0,220.0,2963.0,97.0,97.0,4017.0,2452.0,1565.0,10269.0,0.0043821209465381246,0.28503262245593536,0.14081215308209175,0.1442204693738436,0.15366637452527024,0.3099620216184633,0.3143441425650015,0.021423702405297496,0.28853831921316586,0.009445905151426624,0.009445905151426624,0.3911773298276366,0.23877690135358848,0.1524004284740481
