Deanery,Africa,Africa: Central and Western Africa,Africa: North Africa,Africa: South and Eastern Africa,"Antarctica and Oceania, including Australasia",British Overseas Territories,Europe,Europe: Ireland,Europe: Other Europe,Europe: Other Europe: EU Member countries,Europe: Other Europe: EU Member countries: France,Europe: Other Europe: EU Member countries: Germany,Europe: Other Europe: EU Member countries: Italy,Europe: Other Europe: EU Member countries: Lithuania,Europe: Other Europe: EU Member countries: Other EU countries,Europe: Other Europe: EU Member countries: Poland,Europe: Other Europe: EU Member countries: Portugal,Europe: Other Europe: EU Member countries: Romania,Europe: Other Europe: EU Member countries: Spain,Europe: Other Europe: Rest of Europe,Europe: Other Europe: Rest of Europe: Other Europe,Europe: Other Europe: Rest of Europe: Turkey,Europe: United Kingdom,Middle East and Asia,Middle East and Asia: Central Asia,Middle East and Asia: Eastern Asia,Middle East and Asia: Middle East,Middle East and Asia: South-East Asia,Middle East and Asia: Southern Asia,No passport held,The Americas and the Caribbean,The Americas and the Caribbean: Central and South America,The Americas and the Caribbean: North America and the Caribbean,Total,Africa_prop,Africa: Central and Western Africa_prop,Africa: North Africa_prop,Africa: South and Eastern Africa_prop,"Antarctica and Oceania, including Australasia_prop",British Overseas Territories_prop,Europe_prop,Europe: Ireland_prop,Europe: Other Europe_prop,Europe: Other Europe: EU Member countries_prop,Europe: Other Europe: EU Member countries: France_prop,Europe: Other Europe: EU Member countries: Germany_prop,Europe: Other Europe: EU Member countries: Italy_prop,Europe: Other Europe: EU Member countries: Lithuania_prop,Europe: Other Europe: EU Member countries: Other EU countries_prop,Europe: Other Europe: EU Member countries: Poland_prop,Europe: Other Europe: EU Member countries: Portugal_prop,Europe: Other Europe: EU Member countries: Romania_prop,Europe: Other Europe: EU Member countries: Spain_prop,Europe: Other Europe: Rest of Europe_prop,Europe: Other Europe: Rest of Europe: Other Europe_prop,Europe: Other Europe: Rest of Europe: Turkey_prop,Europe: United Kingdom_prop,Middle East and Asia_prop,Middle East and Asia: Central Asia_prop,Middle East and Asia: Eastern Asia_prop,Middle East and Asia: Middle East_prop,Middle East and Asia: South-East Asia_prop,Middle East and Asia: Southern Asia_prop,No passport held_prop,The Americas and the Caribbean_prop,The Americas and the Caribbean: Central and South America_prop,The Americas and the Caribbean: North America and the Caribbean_prop
B,754.0,540.0,128.0,86.0,12.0,0.0,18101.0,210.0,2763.0,2687.0,58.0,54.0,252.0,62.0,592.0,628.0,588.0,223.0,230.0,76.0,64.0,12.0,15128.0,477.0,0.0,59.0,109.0,48.0,261.0,3769.0,139.0,90.0,49.0,23252.0,0.03242731808016515,0.02322380870462756,0.0055049028040598654,0.0036986065714777225,0.0005160846378806125,0.0,0.7784706691897472,0.009031481162910717,0.11882848787201102,0.11555995183210047,0.0024944090830896267,0.002322380870462756,0.01083777739549286,0.0026664372957164975,0.02546017546877688,0.027008429382418715,0.025288147256150008,0.009590572853948048,0.00989162222604507,0.003268536039910545,0.0027524514020299327,0.0005160846378806125,0.6506107001548254,0.020514364355754343,0.0,0.0025374161362463443,0.00468776879408223,0.00206433855152245,0.01122484087390332,0.16209358334766902,0.00597798038878376,0.0038706347841045933,0.0021073456046791675
Diocese,754.0,540.0,128.0,86.0,12.0,0.0,18101.0,210.0,2763.0,2687.0,58.0,54.0,252.0,62.0,592.0,628.0,588.0,223.0,230.0,76.0,64.0,12.0,15128.0,477.0,0.0,59.0,109.0,48.0,261.0,3769.0,139.0,90.0,49.0,23252.0,0.03242731808016515,0.02322380870462756,0.0055049028040598654,0.0036986065714777225,0.0005160846378806125,0.0,0.7784706691897472,0.009031481162910717,0.11882848787201102,0.11555995183210047,0.0024944090830896267,0.002322380870462756,0.01083777739549286,0.0026664372957164975,0.02546017546877688,0.027008429382418715,0.025288147256150008,0.009590572853948048,0.00989162222604507,0.003268536039910545,0.0027524514020299327,0.0005160846378806125,0.6506107001548254,0.020514364355754343,0.0,0.0025374161362463443,0.00468776879408223,0.00206433855152245,0.01122484087390332,0.16209358334766902,0.00597798038878376,0.0038706347841045933,0.0021073456046791675
