Deanery,Total,Economically active (excluding full-time students),Economically active (excluding full-time students):In employment,Economically active (excluding full-time students):In employment:Employee,Economically active (excluding full-time students): In employment: Employee: Part-time,Economically active (excluding full-time students): In employment: Employee: Full-time,Economically active (excluding full-time students):In employment:Self-employed with employees,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,Economically active (excluding full-time students):In employment:Self-employed without employees,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,Economically active (excluding full-time students): Unemployed,Economically active and a full-time student,Economically active and a full-time student:In employment,Economically active and a full-time student:In employment:Employee,Economically active and a full-time student: In employment: Employee: Part-time,Economically active and a full-time student: In employment: Employee: Full-time,Economically active and a full-time student:In employment:Self-employed with employees,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,Economically active and a full-time student:In employment:Self-employed without employees,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,Economically active and a full-time student: Unemployed,Economically inactive,Economically inactive: Retired,Economically inactive: Student,Economically inactive: Looking after home or family,Economically inactive: Long-term sick or disabled,Economically inactive: Other,Economically active (excluding full-time students)_prop,Economically active (excluding full-time students):In employment_prop,Economically active (excluding full-time students):In employment:Employee_prop,Economically active (excluding full-time students): In employment: Employee: Part-time_prop,Economically active (excluding full-time students): In employment: Employee: Full-time_prop,Economically active (excluding full-time students):In employment:Self-employed with employees_prop,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time_prop,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time_prop,Economically active (excluding full-time students):In employment:Self-employed without employees_prop,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time_prop,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time_prop,Economically active (excluding full-time students): Unemployed_prop,Economically active and a full-time student_prop,Economically active and a full-time student:In employment_prop,Economically active and a full-time student:In employment:Employee_prop,Economically active and a full-time student: In employment: Employee: Part-time_prop,Economically active and a full-time student: In employment: Employee: Full-time_prop,Economically active and a full-time student:In employment:Self-employed with employees_prop,Economically active and a full-time student: In employment: Self-employed with employees: Part-time_prop,Economically active and a full-time student: In employment: Self-employed with employees: Full-time_prop,Economically active and a full-time student:In employment:Self-employed without employees_prop,Economically active and a full-time student: In employment: Self-employed without employees: Part-time_prop,Economically active and a full-time student: In employment: Self-employed without employees: Full-time_prop,Economically active and a full-time student: Unemployed_prop,Economically inactive_prop,Economically inactive: Retired_prop,Economically inactive: Student_prop,Economically inactive: Looking after home or family_prop,Economically inactive: Long-term sick or disabled_prop,Economically inactive: Other_prop
B,18976.0,10343.0,9503.0,8416.0,2065.0,6351.0,180.0,57.0,123.0,907.0,382.0,525.0,840.0,1015.0,664.0,604.0,484.0,120.0,4.0,3.0,1.0,56.0,46.0,10.0,351.0,7618.0,2376.0,1732.0,1006.0,1546.0,958.0,0.5450569139966274,0.5007904721753794,0.44350758853288363,0.1088216694772344,0.33468591905564926,0.00948566610455312,0.003003794266441821,0.006481871838111298,0.047797217537942666,0.020130691399662733,0.027666526138279933,0.04426644182124789,0.053488617200674535,0.03499156829679595,0.03182967959527824,0.025505902192242833,0.006323777403035413,0.00021079258010118043,0.00015809443507588532,5.269814502529511e-05,0.002951096121416526,0.002424114671163575,0.0005269814502529511,0.018497048903878585,0.40145446880269814,0.12521079258010118,0.09127318718381112,0.05301433389544688,0.08147133220910624,0.05048482293423272
Diocese,18976.0,10343.0,9503.0,8416.0,2065.0,6351.0,180.0,57.0,123.0,907.0,382.0,525.0,840.0,1015.0,664.0,604.0,484.0,120.0,4.0,3.0,1.0,56.0,46.0,10.0,351.0,7618.0,2376.0,1732.0,1006.0,1546.0,958.0,0.5450569139966274,0.5007904721753794,0.44350758853288363,0.1088216694772344,0.33468591905564926,0.00948566610455312,0.003003794266441821,0.006481871838111298,0.047797217537942666,0.020130691399662733,0.027666526138279933,0.04426644182124789,0.053488617200674535,0.03499156829679595,0.03182967959527824,0.025505902192242833,0.006323777403035413,0.00021079258010118043,0.00015809443507588532,5.269814502529511e-05,0.002951096121416526,0.002424114671163575,0.0005269814502529511,0.018497048903878585,0.40145446880269814,0.12521079258010118,0.09127318718381112,0.05301433389544688,0.08147133220910624,0.05048482293423272
