Deanery,Main language is English (English or Welsh in Wales),Main language is not English (English or Welsh in Wales),Main language is not English (English or Welsh in Wales): Can speak English very well,Main language is not English (English or Welsh in Wales): Can speak English well,Main language is not English (English or Welsh in Wales): Cannot speak English,Main language is not English (English or Welsh in Wales): Cannot speak English well,Total,Main language is English (English or Welsh in Wales)_prop,Main language is not English (English or Welsh in Wales)_prop,Main language is not English (English or Welsh in Wales): Can speak English very well_prop,Main language is not English (English or Welsh in Wales): Can speak English well_prop,Main language is not English (English or Welsh in Wales): Cannot speak English_prop,Main language is not English (English or Welsh in Wales): Cannot speak English well_prop
B,18614.0,3684.0,1500.0,1485.0,99.0,600.0,22298.0,0.8347833886447215,0.1652166113552785,0.06727060722934793,0.06659790115705444,0.004439860077136963,0.02690824289173917
Diocese,18614.0,3684.0,1500.0,1485.0,99.0,600.0,22298.0,0.8347833886447215,0.1652166113552785,0.06727060722934793,0.06659790115705444,0.004439860077136963,0.02690824289173917
