Deanery,Total,Very good health,Good health,Fair health,Bad health,Very bad health,Very good health_prop,Good health_prop,Fair health_prop,Bad health_prop,Very bad health_prop
B,23266.0,10601.0,7592.0,3233.0,1388.0,452.0,0.4556434281784578,0.32631307487320554,0.1389581363362847,0.059657869853004385,0.01942749075904754
Diocese,23266.0,10601.0,7592.0,3233.0,1388.0,452.0,0.4556434281784578,0.32631307487320554,0.1389581363362847,0.059657869853004385,0.01942749075904754
