Deanery,Africa,Antarctica and Oceania (including Australasia) and Other,British Overseas,Europe,Europe: EU countries,Europe: EU countries: All other EU countries,Europe: EU countries: European Union EU14,Europe: EU countries: European Union EU2,Europe: EU countries: European Union EU8,Europe: Non-EU countries - All other non-EU countries,Europe: United Kingdom,Middle East and Asia,The Americas and the Caribbean,Total,Africa_prop,Antarctica and Oceania (including Australasia) and Other_prop,British Overseas_prop,Europe_prop,Europe: EU countries_prop,Europe: EU countries: All other EU countries_prop,Europe: EU countries: European Union EU14_prop,Europe: EU countries: European Union EU2_prop,Europe: EU countries: European Union EU8_prop,Europe: Non-EU countries - All other non-EU countries_prop,Europe: United Kingdom_prop,Middle East and Asia_prop,The Americas and the Caribbean_prop
B,1943.0,36.0,24.0,19555.0,2325.0,31.0,1139.0,331.0,824.0,183.0,17047.0,1316.0,362.0,23236.0,0.08362024444826993,0.0015493200206576003,0.0010328800137717334,0.8415820278877604,0.10006025133413668,0.0013341366844551558,0.049018763986916854,0.014245136856601824,0.03546221380616285,0.007875710105009467,0.7336460664486142,0.05663625408848339,0.01557927354105698
Diocese,1943.0,36.0,24.0,19555.0,2325.0,31.0,1139.0,331.0,824.0,183.0,17047.0,1316.0,362.0,23236.0,0.08362024444826993,0.0015493200206576003,0.0010328800137717334,0.8415820278877604,0.10006025133413668,0.0013341366844551558,0.049018763986916854,0.014245136856601824,0.03546221380616285,0.007875710105009467,0.7336460664486142,0.05663625408848339,0.01557927354105698
